,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID,Tournamets,Patch,Date
5,Kennen,MMD,TOP,,3,3,4,2.3,204,2,1,7.4,9662,353,21.2%,,11,7,3,,,0.4,0.11,0.26,,16973,2556,14417,0,620,26.9%,0.26,46.7%,,0,0,0,0,-543,-17,-765,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5282,IEM Oakland 2016,6.21,2016-11-21
6,Olaf,Karsa,JUNGLE,,3,2,7,5,101,75,11,3.7,9118,333,20%,,22,8,9,,,0.8,0.33,0.29,,9625,7134,726,1765,351,15.2%,0.37,66.7%,,0,0,0,0,653,2,661,1,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5282,IEM Oakland 2016,6.21,2016-11-21
7,Orianna,Maple,MID,,4,4,9,3.3,212,13,1,7.7,10480,383,23%,,15,1,5,,,0.55,0.18,0.04,,17753,735,17018,0,648,28.1%,0.47,86.7%,,0,0,0,0,332,-11,-9,0,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5282,IEM Oakland 2016,6.21,2016-11-21
8,Ashe,DoubleRed,ADC,,5,5,6,2.2,187,6,1,6.8,10038,367,22%,,9,4,2,,,0.33,0.07,0.15,,14487,13374,1113,0,529,22.9%,0.4,73.3%,,1,0,0,0,-1840,-29,-693,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5282,IEM Oakland 2016,6.21,2016-11-21
9,Alistar,SwordArt,SUPPORT,,0,4,11,2.8,20,0,0,0.7,6289,230,13.8%,,37,3,13,,,1.35,0.47,0.11,,4358,732,2794,832,159,6.9%,0.4,73.3%,,0,0,0,0,-516,1,-790,-1,,,,,,,,,,,,,,,,Flash Wolves,LOSS ,5282,IEM Oakland 2016,6.21,2016-11-21
0,Gnar,MMD,TOP,,1,3,2,1,314,2,1,7.8,14336,354,20.1%,,22,2,5,,,0.54,0.12,0.05,,13492,11134,2358,0,333,16.3%,0.07,33.3%,,0,0,0,0,469,21,778,1,,,,,,,,,,,,,,,,Flash Wolves,WIN,5275,IEM Oakland 2016,6.21,2016-11-20
1,Nidalee,Karsa,JUNGLE,,3,3,3,2,244,115,28,6,16046,397,22.5%,,34,29,8,,,0.84,0.2,0.72,,15788,423,14599,766,390,19.1%,0.15,66.7%,,0,0,0,0,791,10,72,1,,,,,,,,,,,,,,,,Flash Wolves,WIN,5275,IEM Oakland 2016,6.21,2016-11-20
2,Orianna,Maple,MID,,4,2,1,2.5,361,15,0,8.9,15927,394,22.3%,,20,12,4,,,0.49,0.1,0.3,,20035,458,19383,194,495,24.3%,0.12,55.6%,,0,0,0,0,272,9,124,0,,,,,,,,,,,,,,,,Flash Wolves,WIN,5275,IEM Oakland 2016,6.21,2016-11-20
3,Varus,DoubleRed,ADC,,0,1,5,5,285,9,2,7,13729,339,19.2%,,16,11,3,,,0.4,0.07,0.27,,21193,17738,3455,0,524,25.7%,0.12,55.6%,,0,0,0,0,606,1,-55,0,,,,,,,,,,,,,,,,Flash Wolves,WIN,5275,IEM Oakland 2016,6.21,2016-11-20
4,Zyra,SwordArt,SUPPORT,,1,0,4,Perfect KDA,43,0,0,1.1,11363,281,15.9%,,51,24,10,,,1.26,0.25,0.59,,12050,350,11700,0,298,14.6%,0.12,55.6%,,0,0,0,0,424,-3,491,0,,,,,,,,,,,,,,,,Flash Wolves,WIN,5275,IEM Oakland 2016,6.21,2016-11-20
