,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID,Tournamets,Patch,Date
9,Karma,Raise,SUPPORT,,0,3,10,3.3,18,0,0,0.5,9379,242,14.7%,,55,15,11,,,1.42,0.28,0.39,,7813,1033,5520,1260,202,8.5%,0.26,100%,,0,0,0,0,-656,-15,624,1,,,,,,,,,,,,,,,,Roccat,LOSS ,4010,EU LCS Summer 2016,6.13,2016-07-15
0,Shen,Parang,TOP,,1,5,11,2.4,266,8,4,5.2,15850,312,18.8%,,21,8,3,,,0.41,0.06,0.16,,19232,7359,11873,0,379,12%,0.24,92.3%,,0,0,0,0,367,12,826,1,,,,,,,,,,,,,,,,Roccat,LOSS,4011,EU LCS Summer 2016,6.13,2016-07-15
1,Elise,Memento,JUNGLE,,2,6,7,1.5,137,67,19,2.7,15037,296,17.9%,,46,14,10,,,0.91,0.2,0.28,,25783,2397,23266,120,508,16.1%,0.18,69.2%,,0,0,0,0,-476,-20,-1051,-1,,,,,,,,,,,,,,,,Roccat,LOSS,4011,EU LCS Summer 2016,6.13,2016-07-15
2,Vladimir,Betsy,MID,,2,6,9,1.8,308,26,1,6.1,16499,325,19.6%,,19,6,4,,,0.37,0.08,0.12,,39337,412,38925,0,775,24.5%,0.22,84.6%,,0,0,0,0,-2304,-35,-1435,-2,,,,,,,,,,,,,,,,Roccat,LOSS,4011,EU LCS Summer 2016,6.13,2016-07-15
3,Sivir,Steeelback,ADC,,8,4,5,3.3,545,24,7,10.7,23434,462,27.8%,,19,13,6,,,0.37,0.12,0.26,,68833,65585,1702,1546,1356,42.9%,0.26,100%,,3,0,0,0,747,33,-17,0,,,,,,,,,,,,,,,,Roccat,LOSS,4011,EU LCS Summer 2016,6.13,2016-07-15
4,Janna,Raise,SUPPORT,,0,1,12,12,31,0,1,0.6,13335,263,15.8%,,74,18,16,,,1.46,0.32,0.35,,7381,825,6556,0,145,4.6%,0.24,92.3%,,0,0,0,0,-183,-11,-337,0,,,,,,,,,,,,,,,,Roccat,LOSS,4011,EU LCS Summer 2016,6.13,2016-07-15
5,Trundle,sOAZ,TOP,,1,0,13,Perfect KDA,365,0,5,7.2,19850,391,20.3%,,19,8,4,,,0.37,0.08,0.16,,16945,10906,5679,360,334,10.4%,0.28,63.6%,,0,0,0,0,-367,-12,-826,-1,,,,,,,,,,,,,,,,Origen,WIN ,4011,EU LCS Summer 2016,6.13,2016-07-15
6,Gragas,Amazing,JUNGLE,,3,0,16,Perfect KDA,233,88,46,4.6,18753,369,19.2%,,36,24,8,,,0.71,0.16,0.47,,26796,2649,23472,675,528,16.4%,0.37,86.4%,,0,0,0,0,476,20,1051,1,,,,,,,,,,,,,,,,Origen,WIN ,4011,EU LCS Summer 2016,6.13,2016-07-15
7,Cassiopeia,PowerOfEvil,MID,,10,5,7,3.4,415,28,10,8.2,22621,446,23.2%,,18,9,1,,,0.35,0.02,0.18,,64755,898,60562,3295,1276,39.6%,0.33,77.3%,,3,0,0,0,2304,35,1435,2,,,,,,,,,,,,,,,,Origen,WIN ,4011,EU LCS Summer 2016,6.13,2016-07-15
8,Jhin,Toaster,ADC,,8,3,5,4.3,386,19,3,7.6,20998,414,21.5%,,15,7,4,,,0.3,0.08,0.14,,46290,40019,6136,135,912,28.3%,0.26,59.1%,,1,0,0,0,-747,-33,17,0,,,,,,,,,,,,,,,,Origen,WIN ,4011,EU LCS Summer 2016,6.13,2016-07-15
9,Braum,Hybrid,SUPPORT,,0,5,21,4.2,88,0,1,1.7,15471,305,15.8%,,76,25,16,,,1.5,0.32,0.49,,8639,890,7614,135,170,5.3%,0.41,95.5%,,0,0,0,0,183,11,337,0,,,,,,,,,,,,,,,,Origen,WIN ,4011,EU LCS Summer 2016,6.13,2016-07-15
0,Jax,Steve,TOP,,2,3,11,4.3,405,21,2,8.1,19039,383,20.7%,,25,5,3,,,0.5,0.06,0.1,,15328,12515,2493,320,308,12.6%,0.26,92.9%,,0,0,0,0,-630,-27,-580,-1,,,,,,,,,,,,,,,,FC Schalke 04,WIN,4008,EU LCS Summer 2016,6.13,2016-07-15
1,Elise,Gilius,JUNGLE,,3,1,8,11,211,121,18,4.2,17448,351,19%,,35,33,7,,,0.7,0.14,0.66,,16929,757,15882,290,340,13.9%,0.22,78.6%,,0,0,0,0,-708,-10,-927,-1,,,,,,,,,,,,,,,,FC Schalke 04,WIN,4008,EU LCS Summer 2016,6.13,2016-07-15
2,Vladimir,Fox,MID,,1,0,12,Perfect KDA,432,8,1,8.7,19404,390,21.1%,,20,2,4,,,0.4,0.08,0.04,,26713,140,26423,150,537,21.9%,0.26,92.9%,,0,0,0,0,-146,1,-20,0,,,,,,,,,,,,,,,,FC Schalke 04,WIN,4008,EU LCS Summer 2016,6.13,2016-07-15
3,Sivir,MrRalleZ,ADC,,7,1,7,14,530,13,0,10.7,22670,456,24.7%,,15,10,2,,,0.3,0.04,0.2,,58105,56651,1226,228,1168,47.7%,0.28,100%,,1,1,0,0,-222,2,-97,0,,,,,,,,,,,,,,,,FC Schalke 04,WIN,4008,EU LCS Summer 2016,6.13,2016-07-15
4,Trundle,Promisq,SUPPORT,,1,2,13,7,64,0,0,1.3,13243,266,14.4%,,82,22,18,,,1.65,0.36,0.44,,4838,1575,3263,0,97,4%,0.28,100%,,0,0,0,0,-348,-7,-307,-1,,,,,,,,,,,,,,,,FC Schalke 04,WIN,4008,EU LCS Summer 2016,6.13,2016-07-15
5,Gnar,Kikis,TOP,,2,0,3,Perfect KDA,410,0,2,8.2,18134,365,20.2%,,24,12,2,,,0.48,0.04,0.24,,25723,21685,4038,0,517,22%,0.1,71.4%,1,0,0,0,0,630,27,580,1,,,,,,,,,,,,,,,,Fnatic,LOSS ,4008,EU LCS Summer 2016,6.13,2016-07-15
6,Rek,Spirit,JUNGLE,,0,4,4,1,219,115,39,4.4,16986,341,18.9%,,55,31,8,,,1.11,0.16,0.62,,9971,2979,5633,1359,200,8.5%,0.08,57.1%,,0,0,0,0,708,10,927,1,,,,,,,,,,,,,,,,Fnatic,LOSS ,4008,EU LCS Summer 2016,6.13,2016-07-15
7,Azir,Febiven,MID,,3,3,1,1.3,450,25,8,9,19667,395,21.9%,,22,13,3,,,0.44,0.06,0.26,,47328,1079,45324,925,951,40.5%,0.08,57.1%,,0,0,0,0,146,-1,20,0,,,,,,,,,,,,,,,,Fnatic,LOSS ,4008,EU LCS Summer 2016,6.13,2016-07-15
8,Lucian,Rekkles,ADC,,2,3,4,2,515,28,11,10.4,21900,440,24.3%,,18,16,1,,,0.36,0.02,0.32,,26060,23460,1602,998,524,22.3%,0.12,85.7%,,0,0,0,0,222,-2,97,0,,,,,,,,,,,,,,,,Fnatic,LOSS ,4008,EU LCS Summer 2016,6.13,2016-07-15
9,Braum,YellOwStaR,SUPPORT,,0,4,6,1.5,82,0,1,1.6,13300,267,14.8%,,84,18,15,,,1.69,0.3,0.36,,7720,496,5752,1472,155,6.6%,0.12,85.7%,,0,0,0,0,348,7,307,1,,,,,,,,,,,,,,,,Fnatic,LOSS ,4008,EU LCS Summer 2016,6.13,2016-07-15
0,Irelia,Kikis,TOP,,3,3,2,1.7,269,15,11,6.9,15346,393,20.6%,,19,2,2,,,0.49,0.05,0.05,,13943,9897,2171,1875,357,20.9%,0.13,45.5%,3,0,0,0,0,410,-3,-405,-1,,,,,,,,,,,,,,,,Fnatic,WIN,4009,EU LCS Summer 2016,6.13,2016-07-15
1,Olaf,Spirit,JUNGLE,,3,2,5,4,177,80,36,4.5,14835,380,19.9%,,28,24,10,,,0.72,0.26,0.61,,11981,7193,993,3795,307,18%,0.21,72.7%,,0,0,0,0,1278,23,1704,1,,,,,,,,,,,,,,,,Fnatic,WIN,4009,EU LCS Summer 2016,6.13,2016-07-15
2,Zilean,Febiven,MID,,2,1,6,8,351,17,9,9,15510,397,20.8%,,21,9,7,,,0.54,0.18,0.23,,20537,400,19944,193,526,30.8%,0.21,72.7%,,0,0,0,0,-37,-4,78,0,,,,,,,,,,,,,,,,Fnatic,WIN,4009,EU LCS Summer 2016,6.13,2016-07-15
3,Lucian,Rekkles,ADC,,3,0,4,Perfect KDA,418,19,13,10.7,17997,461,24.2%,,14,16,1,,,0.36,0.03,0.41,,14889,13579,580,730,381,22.4%,0.18,63.6%,,1,0,0,0,667,20,572,1,,,,,,,,,,,,,,,,Fnatic,WIN,4009,EU LCS Summer 2016,6.13,2016-07-15
4,Trundle,YellOwStaR,SUPPORT,,0,0,7,Perfect KDA,62,0,4,1.6,10792,276,14.5%,,57,15,13,,,1.46,0.33,0.38,,5243,2612,2291,340,134,7.9%,0.18,63.6%,,0,0,0,0,56,0,308,1,,,,,,,,,,,,,,,,Fnatic,WIN,4009,EU LCS Summer 2016,6.13,2016-07-15
5,Gangplank,Steve,TOP,,1,5,2,0.6,240,11,0,6.1,12621,323,21.1%,,16,0,4,,,0.41,0.1,0,,17144,10345,4795,2004,439,25.5%,0.08,50%,,0,0,0,0,-410,3,405,1,,,,,,,,,,,,,,,,FC Schalke 04,LOSS ,4009,EU LCS Summer 2016,6.13,2016-07-15
6,Rek,Gilius,JUNGLE,,1,3,3,1.3,138,73,15,3.5,10831,277,18.1%,,46,35,5,,,1.18,0.13,0.9,,10789,4317,5386,1086,276,16.1%,0.1,66.7%,,0,0,0,0,-1278,-23,-1704,-1,,,,,,,,,,,,,,,,FC Schalke 04,LOSS ,4009,EU LCS Summer 2016,6.13,2016-07-15
7,Viktor,Fox,MID,,3,1,2,5,347,9,0,8.9,14032,359,23.5%,,12,3,2,,,0.31,0.05,0.08,,22473,152,22271,50,576,33.5%,0.13,83.3%,,0,0,0,0,37,4,-78,0,,,,,,,,,,,,,,,,FC Schalke 04,LOSS ,4009,EU LCS Summer 2016,6.13,2016-07-15
8,Sivir,MrRalleZ,ADC,,1,1,1,2,363,21,0,9.3,13946,357,23.3%,,11,7,1,,,0.28,0.03,0.18,,10008,9949,59,0,256,14.9%,0.05,33.3%,,0,0,0,0,-667,-20,-572,-1,,,,,,,,,,,,,,,,FC Schalke 04,LOSS ,4009,EU LCS Summer 2016,6.13,2016-07-15
9,Braum,Promisq,SUPPORT,,0,1,5,5,34,0,1,0.9,8371,214,14%,,66,9,12,,,1.69,0.31,0.23,,6732,475,6257,0,172,10%,0.13,83.3%,,0,0,0,0,-56,0,-308,-1,,,,,,,,,,,,,,,,FC Schalke 04,LOSS ,4009,EU LCS Summer 2016,6.13,2016-07-15
0,Gangplank,Expect,TOP,,6,2,7,6.5,339,15,9,7.4,20146,439,21.9%,,23,2,2,,,0.5,0.04,0.04,,31277,18590,10339,2348,681,21.1%,0.28,72.2%,1,0,0,0,0,-985,-40,-1712,-2,,,,,,,,,,,,,,,,G2 Esports,WIN,4006,EU LCS Summer 2016,6.13,2016-07-15
1,Gragas,Trick,JUNGLE,,3,2,10,6.5,258,100,18,5.6,18736,408,20.3%,,38,14,8,,,0.83,0.17,0.3,,22637,1967,20270,400,493,15.3%,0.28,72.2%,,0,0,0,0,251,3,422,1,,,,,,,,,,,,,,,,G2 Esports,WIN,4006,EU LCS Summer 2016,6.13,2016-07-15
2,Azir,Perkz,MID,,2,5,8,2,345,24,5,7.5,17923,390,19.4%,,19,16,1,,,0.41,0.02,0.35,,37198,1282,35341,575,810,25.1%,0.22,55.6%,,0,0,0,0,994,19,981,1,,,,,,,,,,,,,,,,G2 Esports,WIN,4006,EU LCS Summer 2016,6.13,2016-07-15
3,Sivir,Zven,ADC,,7,2,7,7,441,34,15,9.6,21853,476,23.7%,,16,19,1,,,0.35,0.02,0.41,,45626,44437,313,876,994,30.8%,0.3,77.8%,,0,0,0,0,1112,26,448,0,,,,,,,,,,,,,,,,G2 Esports,WIN,4006,EU LCS Summer 2016,6.13,2016-07-15
4,Karma,Mithy,SUPPORT,,0,3,12,4,37,0,0,0.8,13535,295,14.7%,,66,29,14,,,1.44,0.3,0.63,,11499,896,9935,668,250,7.8%,0.26,66.7%,,0,0,0,0,265,4,-87,0,,,,,,,,,,,,,,,,G2 Esports,WIN,4006,EU LCS Summer 2016,6.13,2016-07-15
5,Gnar,Odoamne,TOP,,3,1,8,11,392,7,5,8.5,17769,387,22.9%,,20,5,2,,,0.44,0.04,0.11,,25594,21545,3105,944,557,25.2%,0.24,78.6%,,0,0,0,0,985,40,1712,2,,,,,,,,,,,,,,,,H2k-Gaming,LOSS ,4006,EU LCS Summer 2016,6.13,2016-07-15
6,Rek,Jankos,JUNGLE,,3,3,11,4.7,189,95,11,4.1,14917,325,19.2%,,71,22,9,,,1.55,0.2,0.48,,14657,6250,6326,2081,319,14.4%,0.3,100%,,0,0,0,0,-251,-3,-422,-1,,,,,,,,,,,,,,,,H2k-Gaming,LOSS ,4006,EU LCS Summer 2016,6.13,2016-07-15
7,Viktor,Ryu,MID,,3,5,5,1.6,367,17,0,8,16190,353,20.9%,,24,5,6,,,0.52,0.13,0.11,,28249,184,27795,270,615,27.8%,0.17,57.1%,,0,0,0,0,-994,-19,-981,-1,,,,,,,,,,,,,,,,H2k-Gaming,LOSS ,4006,EU LCS Summer 2016,6.13,2016-07-15
8,Caitlyn,Freeze,ADC,,4,4,3,1.8,402,21,2,8.8,17498,381,22.6%,,17,15,4,,,0.37,0.09,0.33,,26367,24555,1192,620,574,25.9%,0.15,50%,,1,0,0,0,-1112,-26,-448,0,,,,,,,,,,,,,,,,H2k-Gaming,LOSS ,4006,EU LCS Summer 2016,6.13,2016-07-15
9,Bard,VandeR,SUPPORT,,1,5,11,2.4,27,0,0,0.6,11152,243,14.4%,,82,24,19,,,1.79,0.41,0.52,,6870,1210,5236,424,150,6.8%,0.26,85.7%,,0,0,0,0,-265,-4,87,0,,,,,,,,,,,,,,,,H2k-Gaming,LOSS ,4006,EU LCS Summer 2016,6.13,2016-07-15
0,Lissandra,Odoamne,TOP,,0,2,1,0.5,167,8,0,6.8,7793,317,21.4%,,9,2,0,,,0.37,0,0.08,,6926,452,6474,0,282,20.8%,0.04,100%,,0,0,0,0,-614,13,22,0,,,,,,,,,,,,,,,,H2k-Gaming,LOSS,4007,EU LCS Summer 2016,6.13,2016-07-15
1,Hecarim,Jankos,JUNGLE,,1,4,0,0.3,78,57,12,3.2,7046,287,19.3%,,14,3,4,,,0.57,0.16,0.12,,5718,3676,1522,520,233,17.1%,0.04,100%,,0,0,0,0,-1738,-8,-1856,-1,,,,,,,,,,,,,,,,H2k-Gaming,LOSS,4007,EU LCS Summer 2016,6.13,2016-07-15
2,Vladimir,Ryu,MID,,0,2,1,0.5,209,0,0,8.5,7915,322,21.7%,,8,3,2,,,0.33,0.08,0.12,,10573,742,9831,0,430,31.7%,0.04,100%,,0,0,0,0,-1270,-23,-1453,-1,,,,,,,,,,,,,,,,H2k-Gaming,LOSS,4007,EU LCS Summer 2016,6.13,2016-07-15
3,Lucian,Freeze,ADC,,0,3,0,0,190,7,1,7.7,8252,336,22.7%,,4,2,1,,,0.16,0.04,0.08,,7178,6905,273,0,292,21.5%,0,0%,,0,0,0,0,-1317,-4,-267,-1,,,,,,,,,,,,,,,,H2k-Gaming,LOSS,4007,EU LCS Summer 2016,6.13,2016-07-15
4,Karma,VandeR,SUPPORT,,0,2,1,0.5,18,0,0,0.7,5425,221,14.9%,,33,9,7,,,1.34,0.28,0.37,,2975,204,2771,0,121,8.9%,0.04,100%,,0,0,0,0,-624,-15,-529,0,,,,,,,,,,,,,,,,H2k-Gaming,LOSS,4007,EU LCS Summer 2016,6.13,2016-07-15
5,Gnar,Expect,TOP,,1,0,9,Perfect KDA,135,15,3,5.5,9629,392,19.1%,,11,0,1,,,0.45,0.04,0,,11245,10290,923,32,458,24.1%,0.41,76.9%,,0,0,0,0,614,-13,-22,0,,,,,,,,,,,,,,,,G2 Esports,WIN ,4007,EU LCS Summer 2016,6.13,2016-07-15
6,Rek,Trick,JUNGLE,,6,0,6,Perfect KDA,106,57,29,4.3,10792,439,21.5%,,25,4,3,,,1.02,0.12,0.16,,7310,3913,2887,510,298,15.7%,0.49,92.3%,,0,0,0,0,1738,8,1856,1,,,,,,,,,,,,,,,,G2 Esports,WIN ,4007,EU LCS Summer 2016,6.13,2016-07-15
7,Ryze,Perkz,MID,,3,0,4,Perfect KDA,217,7,5,8.8,11035,449,21.9%,,6,1,1,,,0.24,0.04,0.04,,12905,1005,11825,75,525,27.7%,0.28,53.8%,1,0,0,0,0,1270,23,1453,1,,,,,,,,,,,,,,,,G2 Esports,WIN ,4007,EU LCS Summer 2016,6.13,2016-07-15
8,Sivir,Zven,ADC,,2,0,8,Perfect KDA,223,0,4,9.1,11370,463,22.6%,,12,2,3,,,0.49,0.12,0.08,,11934,11934,0,0,486,25.6%,0.41,76.9%,,0,0,0,0,1317,4,267,1,,,,,,,,,,,,,,,,G2 Esports,WIN ,4007,EU LCS Summer 2016,6.13,2016-07-15
9,Tahm Kench,Mithy,SUPPORT,,1,1,9,10,32,0,0,1.3,7463,304,14.8%,,33,7,7,,,1.34,0.28,0.28,,3251,663,2588,0,132,7%,0.41,76.9%,,0,0,0,0,624,15,529,0,,,,,,,,,,,,,,,,G2 Esports,WIN ,4007,EU LCS Summer 2016,6.13,2016-07-15
0,Olaf,Jaeger,TOP,,0,2,5,2.5,362,8,5,7.9,15159,332,19.8%,,25,11,4,,,0.55,0.09,0.24,,17852,12384,250,5218,391,16.4%,0.11,55.6%,,0,0,0,0,-39,18,1158,1,,,,,,,,,,,,,,,,Giants Gaming,LOSS,4004,EU LCS Summer 2016,6.13,2016-07-15
1,Elise,Maxlore,JUNGLE,,3,3,4,2.3,149,108,13,3.3,14135,310,18.5%,,38,19,6,,,0.83,0.13,0.42,,16198,1330,14668,200,355,14.9%,0.15,77.8%,,0,0,0,0,-70,-1,25,0,,,,,,,,,,,,,,,,Giants Gaming,LOSS,4004,EU LCS Summer 2016,6.13,2016-07-15
2,Viktor,Night,MID,,2,2,5,3.5,442,20,9,9.7,17135,375,22.4%,,27,7,4,,,0.59,0.09,0.15,,34775,221,34429,125,761,31.9%,0.15,77.8%,,0,0,0,0,200,9,58,0,,,,,,,,,,,,,,,,Giants Gaming,LOSS,4004,EU LCS Summer 2016,6.13,2016-07-15
3,Sivir,S0NSTAR,ADC,,3,4,6,2.3,446,32,1,9.8,18444,404,24.1%,,19,3,3,,,0.42,0.07,0.07,,32831,29433,2360,1038,719,30.1%,0.2,100%,,1,0,0,0,-249,-11,-151,0,,,,,,,,,,,,,,,,Giants Gaming,LOSS,4004,EU LCS Summer 2016,6.13,2016-07-15
4,Karma,Hustlin,SUPPORT,,1,2,8,4.5,44,1,1,1,11643,255,15.2%,,58,27,11,,,1.27,0.24,0.59,,7292,1064,5995,233,160,6.7%,0.2,100%,,0,0,0,0,147,9,-104,0,,,,,,,,,,,,,,,,Giants Gaming,LOSS,4004,EU LCS Summer 2016,6.13,2016-07-15
5,Tahm Kench,Wunder,TOP,,5,3,6,3.7,349,11,7,7.6,18090,396,20.5%,,27,7,5,,,0.59,0.11,0.15,,15345,2378,12427,540,336,20.1%,0.24,84.6%,1,0,0,0,0,39,-18,-1158,-1,,,,,,,,,,,,,,,,Splyce,WIN ,4004,EU LCS Summer 2016,6.13,2016-07-15
6,Rek,Kold,JUNGLE,,2,1,10,12,187,95,18,4.1,16174,354,18.3%,,44,27,6,,,0.96,0.13,0.59,,9806,3876,4629,1301,215,12.9%,0.26,92.3%,,0,0,0,0,70,1,-25,0,,,,,,,,,,,,,,,,Splyce,WIN ,4004,EU LCS Summer 2016,6.13,2016-07-15
7,Azir,Sencux,MID,,3,1,5,8,494,32,3,10.8,20181,442,22.8%,,23,3,0,,,0.5,0,0.07,,24940,1333,23092,515,546,32.7%,0.18,61.5%,,0,0,0,0,-200,-9,-58,0,,,,,,,,,,,,,,,,Splyce,WIN ,4004,EU LCS Summer 2016,6.13,2016-07-15
8,Lucian,Kobbe,ADC,,3,2,8,5.5,497,35,6,10.9,21352,468,24.2%,,16,12,0,,,0.35,0,0.26,,20126,17381,1874,871,441,26.4%,0.24,84.6%,,0,1,0,0,249,11,151,0,,,,,,,,,,,,,,,,Splyce,WIN ,4004,EU LCS Summer 2016,6.13,2016-07-15
9,Nami,Mikyx,SUPPORT,,0,2,12,6,27,3,0,0.6,12540,275,14.2%,,62,23,14,,,1.36,0.31,0.5,,6092,1004,4953,135,133,8%,0.26,92.3%,,0,0,0,0,-147,-9,104,0,,,,,,,,,,,,,,,,Splyce,WIN ,4004,EU LCS Summer 2016,6.13,2016-07-15
0,Irelia,Wunder,TOP,,4,2,8,6,265,3,4,8.6,13584,440,21%,,18,2,4,,,0.58,0.13,0.06,,15077,10249,2443,2385,489,19.7%,0.39,52.2%,1,1,0,0,0,1387,16,372,0,,,,,,,,,,,,,,,,Splyce,WIN,4005,EU LCS Summer 2016,6.13,2016-07-15
1,Olaf,Kold,JUNGLE,,5,0,8,Perfect KDA,117,68,27,3.8,12380,401,19.1%,,20,10,2,,,0.65,0.06,0.32,,11730,6808,756,4166,380,15.3%,0.42,56.5%,1,0,0,0,0,553,11,1352,1,,,,,,,,,,,,,,,,Splyce,WIN,4005,EU LCS Summer 2016,6.13,2016-07-15
2,Taliyah,Sencux,MID,,10,4,4,3.5,250,8,7,8.1,14749,478,22.8%,,17,5,3,,,0.55,0.1,0.16,,24937,499,24438,0,808,32.5%,0.45,60.9%,1,2,0,1,0,434,12,1038,1,,,,,,,,,,,,,,,,Splyce,WIN,4005,EU LCS Summer 2016,6.13,2016-07-15
3,Sivir,Kobbe,ADC,,3,1,13,16,300,15,13,9.7,14341,465,22.2%,,8,7,0,,,0.26,0,0.23,,15856,15596,0,260,514,20.7%,0.52,69.6%,,0,0,0,0,459,12,1284,1,,,,,,,,,,,,,,,,Splyce,WIN,4005,EU LCS Summer 2016,6.13,2016-07-15
4,Bard,Mikyx,SUPPORT,,1,1,14,15,23,0,0,0.7,9606,311,14.9%,,31,12,7,,,1,0.23,0.39,,9100,1787,7313,0,295,11.9%,0.49,65.2%,,0,0,0,0,431,-13,210,0,,,,,,,,,,,,,,,,Splyce,WIN,4005,EU LCS Summer 2016,6.13,2016-07-15
5,Jax,Jaeger,TOP,,3,6,1,0.7,215,2,0,7,10633,345,21.8%,,12,0,2,,,0.39,0.06,0,,9771,6813,2958,0,317,22.6%,0.13,50%,,0,1,0,0,-1387,-16,-372,0,,,,,,,,,,,,,,,,Giants Gaming,LOSS ,4005,EU LCS Summer 2016,6.13,2016-07-15
6,Rek,Maxlore,JUNGLE,,3,3,4,2.3,103,69,4,3.3,9472,307,19.4%,,28,13,4,,,0.91,0.13,0.42,,8856,3388,4240,1228,287,20.5%,0.23,87.5%,,0,0,0,0,-553,-11,-1352,-1,,,,,,,,,,,,,,,,Giants Gaming,LOSS ,4005,EU LCS Summer 2016,6.13,2016-07-15
7,Azir,Night,MID,,1,6,2,0.5,250,4,0,8.1,10184,330,20.9%,,16,2,3,,,0.52,0.1,0.06,,10211,1196,9015,0,331,23.6%,0.1,37.5%,,0,0,0,0,-434,-12,-1038,-1,,,,,,,,,,,,,,,,Giants Gaming,LOSS ,4005,EU LCS Summer 2016,6.13,2016-07-15
8,Lucian,S0NSTAR,ADC,,1,3,4,1.7,287,6,0,9.3,11470,372,23.5%,,12,4,2,,,0.39,0.06,0.13,,10523,10222,301,0,341,24.3%,0.16,62.5%,,0,0,0,0,-459,-12,-1284,-1,,,,,,,,,,,,,,,,Giants Gaming,LOSS ,4005,EU LCS Summer 2016,6.13,2016-07-15
9,Braum,Hustlin,SUPPORT,,0,5,4,0.8,43,0,0,1.4,7025,228,14.4%,,26,7,6,,,0.84,0.19,0.23,,3870,285,3585,0,125,9%,0.13,50%,,0,0,0,0,-431,13,-210,0,,,,,,,,,,,,,,,,Giants Gaming,LOSS ,4005,EU LCS Summer 2016,6.13,2016-07-15
0,Illaoi,Vizicsacsi,TOP,,1,6,2,0.5,343,2,2,7.9,16345,377,20.4%,,29,10,8,,,0.67,0.18,0.23,,24897,23462,753,682,575,29.1%,0.07,37.5%,1,0,0,0,0,454,22,419,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,4002,EU LCS Summer 2016,6.13,2016-07-15
1,Nidalee,Move,JUNGLE,,2,2,2,2,197,101,36,4.5,16421,379,20.5%,,34,36,10,,,0.79,0.23,0.83,,13348,521,12337,490,308,15.6%,0.09,50%,,0,0,0,0,-355,8,101,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,4002,EU LCS Summer 2016,6.13,2016-07-15
2,Viktor,Exile,MID,,1,3,4,1.7,396,28,1,9.1,17997,416,22.5%,,18,8,3,,,0.42,0.07,0.18,,24329,495,23363,471,562,28.5%,0.12,62.5%,,0,0,0,0,-966,1,-479,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,4002,EU LCS Summer 2016,6.13,2016-07-15
3,Ezreal,Veritas,ADC,,4,3,2,2,335,27,3,7.7,17207,397,21.5%,,12,6,2,,,0.28,0.05,0.14,,19672,13913,4609,1150,454,23%,0.14,75%,1,0,0,0,0,-153,9,679,1,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,4002,EU LCS Summer 2016,6.13,2016-07-15
4,Taric,Hylissang,SUPPORT,,0,2,3,1.5,53,0,0,1.2,12082,279,15.1%,,51,9,12,,,1.18,0.28,0.21,,3224,630,2504,90,74,3.8%,0.07,37.5%,,0,0,0,0,287,16,319,0,,,,,,,,,,,,,,,,Unicorns Of Love,LOSS,4002,EU LCS Summer 2016,6.13,2016-07-15
5,Jax,Cabochard,TOP,,7,2,7,7,319,8,4,7.4,16639,384,20.7%,,16,32,4,,,0.37,0.09,0.74,,16152,11908,4001,243,373,16.6%,0.32,87.5%,,1,0,1,0,-454,-22,-419,0,,,,,,,,,,,,,,,,Vitality,WIN ,4002,EU LCS Summer 2016,6.13,2016-07-15
6,Olaf,Shook,JUNGLE,,4,1,8,12,152,99,5,3.5,13868,320,17.3%,,28,12,7,,,0.65,0.16,0.28,,11690,6577,680,4433,270,12%,0.28,75%,,0,0,0,0,355,-8,-101,0,,,,,,,,,,,,,,,,Vitality,WIN ,4002,EU LCS Summer 2016,6.13,2016-07-15
7,Twisted Fate,Nukeduck,MID,,4,2,8,6,355,12,1,8.2,18240,421,22.7%,,15,4,4,,,0.35,0.09,0.09,,29200,1035,27679,486,674,29.9%,0.28,75%,1,0,0,0,0,966,-1,479,0,,,,,,,,,,,,,,,,Vitality,WIN ,4002,EU LCS Summer 2016,6.13,2016-07-15
8,Sivir,Police,ADC,,1,0,10,Perfect KDA,530,22,0,12.2,20054,463,25%,,18,32,2,,,0.42,0.05,0.74,,31963,30792,0,1171,738,32.8%,0.25,68.8%,,0,0,0,0,153,-9,-679,-1,,,,,,,,,,,,,,,,Vitality,WIN ,4002,EU LCS Summer 2016,6.13,2016-07-15
