,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
0,Jayce,Huni,TOP,,5,0,7,Perfect KDA,243,3,8,9.6,12450,493,23%,,14,6,4,,,0.55,0.16,0.24,,16004,12549,3335,120,633,31.7%,0.47,75%,,0,0,0,0,909,10,779,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9051
1,Sejuani,Peanut,JUNGLE,,3,0,10,Perfect KDA,94,44,10,3.7,9756,386,18%,,19,11,4,,,0.75,0.16,0.44,,6192,3583,2497,112,245,12.3%,0.51,81.3%,,0,0,0,0,201,-15,-255,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9051
2,Galio,Faker,MID,,4,0,10,Perfect KDA,261,8,11,10.3,12035,476,22.2%,,12,3,1,,,0.47,0.04,0.12,,8172,349,7823,0,323,16.2%,0.55,87.5%,,0,0,0,0,1284,21,1538,2,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9051
3,Caitlyn,Bang,ADC,,4,0,7,Perfect KDA,252,6,7,10,12396,491,22.9%,,12,1,2,,,0.47,0.08,0.04,,16107,14540,1187,380,637,31.9%,0.44,68.8%,,0,0,0,0,1295,15,734,1,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9051
4,Trundle,Wolf,SUPPORT,,0,1,13,13,36,0,0,1.4,7539,298,13.9%,,18,8,8,,,0.71,0.32,0.32,,4041,3250,791,0,160,8%,0.51,81.3%,,0,0,0,0,333,-1,72,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9051
5,Rumble,Alphari,TOP,,0,5,0,0,157,1,0,6.2,6777,268,19.2%,,14,1,5,,,0.55,0.2,0.04,,8277,264,8013,0,328,29.1%,0,0%,,0,0,0,0,-909,-10,-779,0,,,,,,,,,,,,,,,,Misfits,LOSS ,9051
6,Jarvan IV,Maxlore,JUNGLE,,0,3,1,0.3,129,53,1,5.1,7000,277,19.8%,,24,10,8,,,0.95,0.32,0.4,,3730,3043,647,40,148,13.1%,0.04,100%,,0,0,0,0,-201,15,255,0,,,,,,,,,,,,,,,,Misfits,LOSS ,9051
7,Ryze,PowerOfEvil,MID,,1,2,0,0.5,228,2,0,9,8544,338,24.2%,,9,3,3,,,0.36,0.12,0.12,,4758,1394,3364,0,188,16.8%,0.04,100%,,0,0,0,0,-1284,-21,-1538,-2,,,,,,,,,,,,,,,,Misfits,LOSS ,9051
8,Tristana,Hans sama,ADC,,0,4,1,0.3,213,0,0,8.4,7836,310,22.1%,,12,6,6,,,0.47,0.24,0.24,,8799,7378,1421,0,348,31%,0.04,100%,,0,0,0,0,-1295,-15,-734,-1,,,,,,,,,,,,,,,,Misfits,LOSS ,9051
9,Taric,IgNar,SUPPORT,,0,2,1,0.5,32,0,0,1.3,5221,207,14.8%,,19,6,8,,,0.75,0.32,0.24,,2834,1296,1538,0,112,10%,0.04,100%,,0,0,0,0,-333,1,-72,0,,,,,,,,,,,,,,,,Misfits,LOSS ,9051
0,Jax,Khan,TOP,,3,4,4,1.8,358,15,4,8,16308,366,21.1%,,29,13,9,,,0.65,0.2,0.29,,11137,8894,2243,0,250,13%,0.16,46.7%,,1,0,0,0,-756,-26,-1427,-1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,9046
1,Jarvan IV,Cuzz,JUNGLE,,1,4,11,3,154,78,15,3.5,12979,291,16.8%,,38,31,7,,,0.85,0.16,0.7,,6555,5097,1171,287,147,7.7%,0.27,80%,,0,0,0,0,-528,3,-867,-1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,9046
2,Syndra,Bdd,MID,,6,4,5,2.8,414,12,0,9.3,17938,403,23.2%,,24,5,6,,,0.54,0.13,0.11,,32646,1238,30335,1073,733,38.1%,0.25,73.3%,1,2,0,0,0,737,27,263,0,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,9046
3,Xayah,PraY,ADC,,3,4,8,2.8,447,13,0,10,18654,419,24.1%,,17,12,2,,,0.38,0.04,0.27,,30431,28862,690,879,683,35.6%,0.25,73.3%,,0,0,0,0,463,10,34,0,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,9046
4,Thresh,GorillA,SUPPORT,,2,3,10,4,65,0,0,1.5,11505,258,14.9%,,79,17,22,,,1.77,0.49,0.38,,4807,492,3681,634,108,5.6%,0.27,80%,,0,0,0,0,115,15,537,1,,,,,,,,,,,,,,,,Longzhu Gaming,LOSS,9046
5,Kennen,CuVee,TOP,,5,3,8,4.3,311,1,0,7,17547,394,20.1%,,33,11,11,,,0.74,0.25,0.25,,27307,2712,23817,778,613,24.8%,0.29,68.4%,1,2,0,0,0,756,26,1427,1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9046
6,Sejuani,Ambition,JUNGLE,,4,5,10,2.8,176,73,2,4,15994,359,18.3%,,45,16,14,,,1.01,0.31,0.36,,12195,6168,5467,560,274,11.1%,0.31,73.7%,,0,0,0,0,528,-3,867,1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9046
7,Malzahar,Crown,MID,,5,3,7,4,367,23,2,8.2,19064,428,21.8%,,28,12,12,,,0.63,0.27,0.27,,28885,134,28283,468,649,26.2%,0.27,63.2%,,0,0,0,0,-737,-27,-263,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9046
8,Tristana,Ruler,ADC,,5,1,10,15,439,13,1,9.9,20840,468,23.8%,,26,31,16,,,0.58,0.36,0.7,,38078,23619,11106,3353,855,34.6%,0.34,78.9%,,1,0,0,0,-463,-10,-34,0,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9046
9,Rakan,CoreJJ,SUPPORT,,0,3,14,4.7,22,0,0,0.5,13952,313,16%,,50,19,13,,,1.12,0.29,0.43,,3702,336,3294,72,83,3.4%,0.31,73.7%,,0,0,0,0,-115,-15,-537,-1,,,,,,,,,,,,,,,,Samsung Galaxy,WIN ,9046
0,Trundle,Huni,TOP,,2,2,6,4,403,16,2,10.5,16842,439,23.5%,,19,5,2,,,0.5,0.05,0.13,,15667,13099,2568,0,409,22.9%,0.21,80%,,0,0,0,0,226,29,-80,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9042
1,Sejuani,blank,JUNGLE,,2,1,7,9,113,60,3,2.9,11871,310,16.5%,,37,14,5,,,0.97,0.13,0.37,,6770,3814,2956,0,177,9.9%,0.23,90%,,0,0,0,0,-829,-11,-166,-1,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9042
2,Orianna,Faker,MID,,1,1,9,10,342,6,0,8.9,14784,386,20.6%,,19,10,4,,,0.5,0.1,0.26,,22128,704,21424,0,577,32.4%,0.26,100%,,0,0,0,0,-513,24,420,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9042
3,Twitch,Bang,ADC,,5,1,4,9,342,23,0,8.9,15964,416,22.3%,,18,7,2,,,0.47,0.05,0.18,,21191,15278,2726,3187,553,31%,0.23,90%,,1,0,0,0,-1975,-45,-189,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9042
4,Janna,Wolf,SUPPORT,,0,1,10,10,21,0,0,0.5,12286,321,17.1%,,40,9,15,,,1.04,0.39,0.23,,2639,522,1931,186,69,3.9%,0.26,100%,,0,0,0,0,-280,2,-224,0,,,,,,,,,,,,,,,,SK Telecom T1,WIN,9042
