,hero,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,TEAM,WIN_LOSE,game_ID
7,Taliyah,Athena,MID,,0,4,5,1.3,324,,,8.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.12,31.3%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6792
8,Ashe,jinjiao,ADC,,5,6,8,2.2,271,,,6.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,81.3%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6792
9,Zyra,road,SUPPORT,,6,4,7,3.3,54,,,1.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,81.3%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6792
0,Shen,Duke,TOP,,0,2,0,0,312,,,8.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,6789
1,Elise,Kid,JUNGLE,,2,4,1,0.8,124,,,3.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.08,75%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,6789
2,Taliyah,RooKie,MID,,1,3,1,0.7,357,,,9.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.05,50%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,6789
3,Lucian,Marge,ADC,,1,1,1,2,335,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.05,50%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,6789
4,Lulu,Megan,SUPPORT,,0,3,3,1,36,,,1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.08,75%,,,,,,,,,,,,,,,,,,,,,,,,,Invictus Gaming,LOSS,6789
5,Fizz,Flandre,TOP,,1,0,3,Perfect KDA,362,,,9.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,30.8%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,WIN ,6789
6,Kha,SofM,JUNGLE,,4,2,4,4,170,,,4.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,WIN ,6789
7,Ahri,Zz1tai,MID,,4,0,4,Perfect KDA,351,,,9.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,WIN ,6789
8,Ashe,Ohq,ADC,,3,0,3,Perfect KDA,369,,,10,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.16,46.2%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,WIN ,6789
9,Nami,kRYST4L,SUPPORT,,1,2,11,6,27,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.33,92.3%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,WIN ,6789
0,Shen,Xiyang,TOP,,3,3,9,4,402,,,9.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.28,75%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6786
1,Lee Sin,World6,JUNGLE,,1,3,13,4.7,155,,,3.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,87.5%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6786
2,Ryze,icon,MID,,5,2,4,4.5,375,,,8.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,56.3%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6786
3,Lucian,SmLz,ADC,,7,1,7,14,401,,,9.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,87.5%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6786
4,Nami,Five,SUPPORT,,0,1,14,14,29,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,87.5%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6786
5,Gnar,LetMe,TOP,,1,3,4,1.7,356,,,8.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.12,50%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,LOSS ,6786
6,Gragas,Mlxg,JUNGLE,,2,4,7,2.3,155,,,3.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,90%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,LOSS ,6786
7,LeBlanc,xiaohu,MID,,4,2,5,4.5,288,,,6.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,90%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,LOSS ,6786
8,Ashe,Uzi,ADC,,2,3,7,3,442,,,10.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,90%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,LOSS ,6786
9,Lulu,Ming,SUPPORT,,1,4,9,2.5,22,,,0.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.23,100%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,LOSS ,6786
0,Nautilus,Minn,TOP,,2,0,8,Perfect KDA,225,,,6.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.31,76.9%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,6783
1,Graves,Fireloli,JUNGLE,,4,0,6,Perfect KDA,170,,,5.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.31,76.9%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,6783
2,Taliyah,Scout,MID,,6,0,2,Perfect KDA,299,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,6783
3,Caitlyn,Zet,ADC,,0,0,8,Perfect KDA,263,,,8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,6783
4,Karma,meiko,SUPPORT,,1,0,11,Perfect KDA,31,,,0.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.37,92.3%,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gaming,WIN,6783
5,Gragas,957,TOP,,0,3,0,0,239,,,7.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6783
6,Lee Sin,Condi,JUNGLE,,0,6,0,0,127,,,3.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6783
7,Vladimir,xiye,MID,,0,2,0,0,306,,,9.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6783
8,Lucian,Mystic,ADC,,0,1,0,0,307,,,9.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6783
9,Lulu,Ben,SUPPORT,,0,1,0,0,25,,,0.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6783
0,Rumble,Skye,TOP,,3,3,3,2,319,,,9.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.18,75%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,LOSS,6780
1,Ivern,Swift,JUNGLE,,2,3,5,2.3,97,,,2.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,87.5%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,LOSS,6780
2,Jayce,CoCo,MID,,0,3,2,0.7,266,,,7.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.06,25%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,LOSS,6780
3,Caitlyn,Lwx,ADC,,3,4,3,1.5,282,,,8.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.18,75%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,LOSS,6780
4,Nami,MorZB,SUPPORT,,0,2,6,3,13,,,0.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.18,75%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,LOSS,6780
5,Kled,Loong,TOP,,3,0,7,Perfect KDA,325,,,9.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.3,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN ,6780
6,Elise,bengi,JUNGLE,,2,4,7,2.3,145,,,4.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.27,60%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN ,6780
7,Taliyah,Easyhoon,MID,,4,1,8,12,312,,,9.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,80%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN ,6780
8,Varus,XuanXuanPi,ADC,,4,2,6,5,305,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.3,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN ,6780
9,Lulu,Caveman,SUPPORT,,2,1,10,12,24,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,80%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN ,6780
0,Shen,Kabe,TOP,,3,1,17,20,280,,,7.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.57,83.3%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6777
1,Elise,Clid,JUNGLE,,6,1,9,15,218,,,6.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.43,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6777
2,Talon,Doinb,MID,,7,4,7,3.5,276,,,7.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.4,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6777
3,Ezreal,Alone,ADC,,6,3,10,5.3,319,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.45,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6777
4,Karma,Deceit,SUPPORT,,2,0,17,Perfect KDA,25,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.54,79.2%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6777
5,Nautilus,GimGoon,TOP,,0,1,2,2,255,,,7.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.06,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6777
6,Graves,xiaoyu,JUNGLE,,2,4,4,1.5,196,,,5.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.17,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6777
7,Viktor,Republic,MID,,3,8,1,0.5,281,,,8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6777
8,Varus,West,ADC,,3,7,4,1,268,,,7.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6777
9,Malzahar,Savoki,SUPPORT,,1,4,5,1.5,25,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.17,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6777
0,Jayce,LetMe,TOP,,4,0,4,Perfect KDA,348,,,9.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.23,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,6774
1,Ivern,Mlxg,JUNGLE,,1,0,10,Perfect KDA,107,,,3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.31,78.6%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,6774
2,Taliyah,xiaohu,MID,,2,1,3,5,334,,,9.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.14,35.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,6774
3,Caitlyn,Uzi,ADC,,3,0,9,Perfect KDA,386,,,10.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.34,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,6774
4,Karma,Ming,SUPPORT,,4,1,9,13,18,,,0.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.37,92.9%,,,,,,,,,,,,,,,,,,,,,,,,,Royal Never Give Up,WIN,6774
5,Rumble,Flandre,TOP,,1,2,0,0.5,363,,,10.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.03,50%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,LOSS ,6774
6,Graves,SofM,JUNGLE,,0,3,0,0,215,,,6.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,LOSS ,6774
7,Syndra,TANK,MID,,0,2,0,0,347,,,9.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,LOSS ,6774
8,Lucian,Mint,ADC,,0,2,1,0.5,278,,,7.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.03,50%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,LOSS ,6774
9,Lulu,kRYST4L,SUPPORT,,1,5,0,0.2,36,,,1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.03,50%,,,,,,,,,,,,,,,,,,,,,,,,,Snake Esports,LOSS ,6774
0,Fizz,Xiyang,TOP,,1,0,7,Perfect KDA,372,,,9.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6771
1,Rengar,World6,JUNGLE,,1,4,10,2.8,180,,,4.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.27,78.6%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6771
2,LeBlanc,icon,MID,,3,2,5,4,334,,,8.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.2,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6771
3,Kog,SmLz,ADC,,9,0,2,Perfect KDA,430,,,10.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.27,78.6%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6771
4,Lulu,Five,SUPPORT,,0,2,12,6,26,,,0.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.3,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,OMG,WIN,6771
5,Gragas,AmazingJ,TOP,,0,2,4,2,345,,,8.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.1,50%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6771
6,Graves,Flawless,JUNGLE,,2,4,2,1,276,,,6.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.1,50%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6771
7,Vladimir,Athena,MID,,3,3,2,1.7,318,,,7.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.12,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6771
8,Ashe,jinjiao,ADC,,3,2,1,2,348,,,8.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.1,50%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6771
9,Malzahar,Starlight,SUPPORT,,0,3,4,1.3,29,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.1,50%,,,,,,,,,,,,,,,,,,,,,,,,,I May,LOSS ,6771
0,Nautilus,957,TOP,,3,0,5,Perfect KDA,223,,,7.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.27,44.4%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,WIN,6768
1,Elise,Condi,JUNGLE,,4,0,6,Perfect KDA,130,,,4.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.34,55.6%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,WIN,6768
2,Talon,xiye,MID,,8,1,4,12,311,,,10.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.4,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,WIN,6768
3,Lucian,Mystic,ADC,,2,0,11,Perfect KDA,286,,,9.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.44,72.2%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,WIN,6768
4,Lulu,Ben,SUPPORT,,1,0,11,Perfect KDA,18,,,0.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.4,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,WIN,6768
5,Kled,GimGoon,TOP,,0,3,0,0,268,,,9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6768
6,Kindred,xiaoyu,JUNGLE,,0,3,1,0.3,143,,,4.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.03,100%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6768
7,Taliyah,Republic,MID,,1,5,0,0.2,249,,,8.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.03,100%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6768
8,Varus,West,ADC,,0,2,0,0,230,,,7.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6768
9,Malzahar,Savoki,SUPPORT,,0,5,0,0,21,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6768
0,Nautilus,Kabe,TOP,,3,1,8,11,314,,,10.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.35,84.6%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6765
1,Elise,Clid,JUNGLE,,3,1,4,7,125,,,4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,53.8%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6765
2,Talon,Doinb,MID,,2,2,9,5.5,249,,,8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.35,84.6%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6765
3,Varus,Alone,ADC,,5,2,6,5.5,279,,,8.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.35,84.6%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6765
4,Braum,Deceit,SUPPORT,,0,2,10,5,36,,,1.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,76.9%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6765
5,Shen,Loong,TOP,,2,3,4,2,279,,,8.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.19,75%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,6765
6,Lee Sin,bengi,JUNGLE,,1,4,4,1.3,137,,,4.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.16,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,6765
7,Taliyah,Easyhoon,MID,,2,1,4,6,323,,,10.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.19,75%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,6765
8,Ashe,Endless,ADC,,1,2,6,3.5,289,,,9.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.22,87.5%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,6765
9,Lulu,Hetong,SUPPORT,,2,3,3,1.7,17,,,0.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.16,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,LOSS ,6765
0,Nautilus,Kabe,TOP,,4,4,17,5.3,265,,,7.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.61,77.8%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6642
1,Lee Sin,Clid,JUNGLE,,10,3,14,8,136,,,4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.7,88.9%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6642
2,Ryze,Doinb,MID,,4,3,16,6.7,297,,,8.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.58,74.1%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6642
3,Kalista,Alone,ADC,,8,3,16,8,239,,,7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.7,88.9%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6642
4,Thresh,CL0UD,SUPPORT,,1,4,18,4.8,43,,,1.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.55,70.4%,,,,,,,,,,,,,,,,,,,,,,,,,QG Reapers,WIN,6642
5,Maokai,957,TOP,,3,7,10,1.9,229,,,6.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.38,76.5%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6642
6,Kha,Condi,JUNGLE,,3,5,9,2.4,133,,,3.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.35,70.6%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6642
7,Syndra,xiye,MID,,7,4,7,3.5,311,,,9.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.41,82.4%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6642
8,Ashe,Mystic,ADC,,4,7,9,1.9,237,,,6.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.38,76.5%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6642
9,Lulu,Ben,SUPPORT,,0,4,15,3.8,21,,,0.6,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.44,88.2%,,,,,,,,,,,,,,,,,,,,,,,,,Team WE,LOSS ,6642
0,Renekton,Loong,TOP,,3,5,8,2.2,337,,,8.9,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.29,57.9%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,6639
1,Graves,bengi,JUNGLE,,8,0,5,Perfect KDA,232,,,6.1,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.34,68.4%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,6639
2,Syndra,Easyhoon,MID,,6,2,9,7.5,397,,,10.4,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.39,78.9%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,6639
3,Ashe,Endless,ADC,,2,0,6,Perfect KDA,362,,,9.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.21,42.1%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,6639
4,Lulu,Hetong,SUPPORT,,0,1,9,9,13,,,0.3,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.24,47.4%,,,,,,,,,,,,,,,,,,,,,,,,,Vici Gaming,WIN,6639
5,Kled,GimGoon,TOP,,3,5,2,1,325,,,8.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.13,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6639
6,Kha,xiaoyu,JUNGLE,,1,3,2,1,140,,,3.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.08,37.5%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6639
7,Orianna,Republic,MID,,3,4,2,1.3,350,,,9.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.13,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6639
8,Ezreal,PentaQ,ADC,,0,3,2,0.7,312,,,8.2,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.05,25%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6639
9,Karma,Soul (2),SUPPORT,,1,4,3,1,27,,,0.7,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.11,50%,,,,,,,,,,,,,,,,,,,,,,,,,Game Talents,LOSS ,6639
0,Nautilus,Skye,TOP,,1,5,16,3.4,283,,,6.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.39,81%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,WIN,6636
1,Rengar,Swift,JUNGLE,,7,5,8,3,242,,,5.5,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.34,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,WIN,6636
2,Taliyah,Cool,MID,,6,6,11,2.8,382,,,8.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.39,81%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,WIN,6636
3,Ezreal,Lwx,ADC,,6,3,9,5,348,,,8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.34,71.4%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,WIN,6636
4,Lulu,MorZB,SUPPORT,,1,4,13,3.5,33,,,0.8,0,0,0%,,,,,,,0,0,0,,0,0,0,0,0,0%,0.32,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,Newbee,WIN,6636
